artifact_id	sha256	byte_size	source_relative_path
ART-R03-001	ec57442197377723b1142d1ef6f78c492cf3f63640365a780bbf9a97a06f086e	944	classification/final-actuation-gate/actuation-gate.env
ART-R03-002	0c7f42ef2205ad531f73c3b1d62baa6c93e9aed61a70d77bb7b61cf3fe542158	2833654	classification/post-newtx-prb-cap/newtx-lines.txt
ART-R03-003	0466d947dc91c3979c8c28b5fb1114c954e95ab3533ca0b3973983e9d63410ea	2874639	classification/post-newtx-prb-cap/newtx-widths.txt
ART-R03-004	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	classification/post-newtx-prb-cap/violations.txt
ART-R03-005	8de24873447eb67b77e35fed213804ce20c299fb765baa4162704ebe490e78cc	107543	classification/queue-response/after-dl-bo.txt
ART-R03-006	a8985121ce4755daa6b819c380bd90639a53a9d47e400282cc1c591069d7d2bd	34889	classification/queue-response/before-dl-bo.txt
ART-R03-007	8612c3a6926db4243759552297ac484908f21d183339072fc0dea939559575d1	2436	control/exactly-one-prb25-r03/actuator-console.log
ART-R03-008	6f13ba9645b3d0c6aedf85148d645601ff5cfcfbf6a6dd82d69fd7556ef2a291	460	control/exactly-one-prb25-r03/actuator-control-evidence.txt
ART-R03-009	da4d4d1ba8b8b866111ce2050f4bd013ce098ec482c16f3c271696224e95a9fe	278	control/exactly-one-prb25-r03/actuator-created-contract.txt
ART-R03-010	5942130c4cf4a06f2a8a88168b5dabe09371047363b605471573c746b74ad74b	125	control/exactly-one-prb25-r03/actuator-final-state.txt
ART-R03-011	2b0ddb15e854d2f47c3893e57711ef40094de00f405ba0852ddba6d1dfa70ded	3800	control/exactly-one-prb25-r03/actuator-runtime.log
ART-R03-012	2ec4e233181c3e8ff80051eaeb5cd6adbebad843ca44398ecf40ae507f4c15fb	278	control/exactly-one-prb25-r03/ao26-result.env
ART-R03-013	7f2c70101bbc86cc080d50ec47c140ec49599d102549f0191f6ef2a9e428f2a8	248	control/exactly-one-prb25-r03/control-attempt.env
ART-R03-014	ac4210e9757e698017e7a21009dd6509b1245f7007ec0bd28036d03ff2cd8fee	21	control/exactly-one-prb25-r03/control-launch-utc.txt
ART-R03-015	7198099791ee1562f00ed8cbfa948acd9fc586937b9b1b2d0cf5d54b8230f9d8	65	control/exactly-one-prb25-r03/docker-create-id.txt
ART-R03-016	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa	2	control/exactly-one-prb25-r03/docker-start-rc.txt
ART-R03-017	9412b9b2f42b94fe4426da38ba056f3b476dd566f9dac55f880819e697fa49b1	285	control/exactly-one-prb25-r03/gnb-control-evidence.txt
ART-R03-018	d8228a665d59b1f9e5165038c2c12402289c3abe4e150fddab3946adfd9ba09b	126976	control/exactly-one-prb25-r03/gnb-control-window.log
ART-R03-019	c88102d141363f686cf83ee98c5aec00193654d21b43e240f1cd032d345b19b8	9	control/exactly-one-prb25-r03/gnb-log-end-bytes.txt
ART-R03-020	8e828c03bdd21ac6b2d9f1437a2d55fd59c1e3501ec916bf7c6306d2186e11fa	9	control/exactly-one-prb25-r03/gnb-log-start-bytes.txt
ART-R03-021	d4613ed65e6f2bce7c0768f2e1a0c797ae885be2184c4331ea3150e56484fcad	262	control/exactly-one-prb25-r03/ric-control-evidence.txt
ART-R03-022	c8542f9b1cdc702ca6c91ed3f98d0b7e584d72bb03913f6334834bf6796db504	383	control/exactly-one-prb25-r03/ric-control-window.log
ART-R03-023	31286ce4a98129eaea22383cab271f5f927b640486cfa7caace8275d5eef2e6d	767	control/exactly-one-prb25-r03/runtime-after.txt
ART-R03-024	31286ce4a98129eaea22383cab271f5f927b640486cfa7caace8275d5eef2e6d	767	control/exactly-one-prb25-r03/runtime-before.txt
ART-R03-025	2158085c5f0a642841e8a2db2e3f234967a9f897173b498310acd1ab856cf869	320	experiment.env
ART-R03-026	ea6e1973bb2373440d7e433906fc45302e7ea089679bc03c4e7225aa5f3bdd48	337	inputs/sha256.txt
ART-R03-027	0fb175a8cdfc376033717245746bd1e257101c3a18baccf9e5e7891d1ec4a689	4971632	inputs/xapp_oran_slice_ctrl.corrected
ART-R03-028	61ea0417299b36c6ab4eceef389426fe7dc1353dfe6acef92a6fc229335deaa8	1938	inputs/xapp_oran_sm.conf
ART-R03-029	eaf9b2e5696609927f44ef6c1acc5213320aa0641b3487318ae48d904809292a	21	measurements/y_after/.measurement_started_utc
ART-R03-030	317fa98873d3b6f60ec95204aa9a07b7f885f375e24a215b788113fa3a072a7a	18636800	measurements/y_after/gnb-native.delta.log
ART-R03-031	4536d9c850c17289f7b441a897399f0892baaa34d54eafc23e1c87c612e6ac0e	1109	measurements/y_after/iperf-client.txt
ART-R03-032	a1854d4755aef8ac485b3841187f83916c38b589ef2f1afde58e65c0d0e44e22	1901	measurements/y_after/iperf-server.txt
ART-R03-033	6051fca6464c55f9643e628051710d9451009384d5364d3e0f95fa72351fd2f7	529	measurements/y_after/measurement.env
ART-R03-034	31286ce4a98129eaea22383cab271f5f927b640486cfa7caace8275d5eef2e6d	767	measurements/y_after/runtime-after.txt
ART-R03-035	31286ce4a98129eaea22383cab271f5f927b640486cfa7caace8275d5eef2e6d	767	measurements/y_after/runtime-before.txt
ART-R03-036	c47f7c79c6d8284886295eae41a785cc59703f806343db57d5b322058030b54a	65	measurements/y_after/server-container-id.txt
ART-R03-037	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa	2	measurements/y_after/server-wait.txt
ART-R03-038	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	measurements/y_before/Y_BEFORE_COMPLETE
ART-R03-039	43161304ecadb58971c701199436caae7a6110542fccd43c0ba08870b49b7d5e	12644352	measurements/y_before/gnb-telemetry-window.log
ART-R03-040	0117e6a9bec9236297fc0ea90bed67ae767c903491b895c2f19c58321308025f	1105	measurements/y_before/iperf/iperf3-client.stdout.log
ART-R03-041	17080bdbd1a45bc567d32555d19c2fbc4f5c3877835911ac055c714321a5cf32	1344	measurements/y_before/iperf/iperf3-server.stdout.log
ART-R03-042	39aa1363d9edd5e672caddaefd832a47c59d7ba6cfd4765da76e762d68bdc051	65	measurements/y_before/iperf/server-container-id.txt
ART-R03-043	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa	2	measurements/y_before/iperf/server-exit-code.txt
ART-R03-044	31286ce4a98129eaea22383cab271f5f927b640486cfa7caace8275d5eef2e6d	767	measurements/y_before/runtime-after.txt
ART-R03-045	31286ce4a98129eaea22383cab271f5f927b640486cfa7caace8275d5eef2e6d	767	measurements/y_before/runtime-before.txt
ART-R03-046	018e029939ccca34efbc17e64fe8aa68b0254e6965237a64d85b0672dfc93be8	9	measurements/y_before/telemetry-end-bytes.txt
ART-R03-047	60afe4905ea03c8a199ac9d9da26691c5348e663a5fc17311adbe8875bf1e514	9	measurements/y_before/telemetry-start-bytes.txt
ART-R03-048	c63860e9437d039e02f5c6c690d723887a1b8376a8dbac674340fb0f95cd060c	21	measurements/y_before/telemetry-start-utc.txt
ART-R03-049	7d7193a7664f788cea3c9e0190817ec0a4ccc9e41005cbab0333c941b950e600	312	measurements/y_before/workload-console.log
ART-R03-050	be7166c349dfcb113a8a80a178d6e5a940c59faeb88d52f479c0f9e34c8288f1	21	measurements/y_before/y-before-end-utc.txt
ART-R03-051	33242b7a6766f4084bc6764e150d05bdc896b39befb4246c8990c9496fa56c77	21	measurements/y_before/y-before-start-utc.txt
ART-R03-052	be186f1f2f410f445464e55a11ed09b5120016d076796a7d1a60c18dbfa4364d	68	measurements/y_before_failed_50s/iperf/iperf3-client.stdout.log
ART-R03-053	f8d93e1da955576811b975944753ddb0d4ad44fab1c7bfd86415c9de2755d27e	25	measurements/y_before_failed_50s/iperf/iperf3-server.stdout.log
ART-R03-054	31286ce4a98129eaea22383cab271f5f927b640486cfa7caace8275d5eef2e6d	767	measurements/y_before_failed_50s/runtime-before.txt
ART-R03-055	bb38ef4f843b09f9003ce8e732eac82405243c624f2fdba36893a6510bc1541a	9	measurements/y_before_failed_50s/telemetry-start-bytes.txt
ART-R03-056	631dfdc88f954d38b6ce302c5d6d673e4ed9140732e06b79b045f38be611d1ff	21	measurements/y_before_failed_50s/telemetry-start-utc.txt
ART-R03-057	9cc947049f16da86f9c1863dfdc49a9384963f7236757ab8898d7e54cf8c8f68	281	measurements/y_before_failed_50s/workload-console.log
